,time,emissions
0,0,0.722232408841943
1,1800,0.7379698754801013
2,3600,0.7338908168715018
3,5400,0.7364329884139452
4,7200,0.767742892903177
5,9000,0.7393414419659332
6,10800,0.7531852786356658
7,12600,0.7536880325490141
8,14400,0.778282172687805
9,16200,0.7568516145187382
10,18000,0.7754990781109895
11,19800,0.7466218435801751
12,21600,0.7580374954116258
13,23400,0.7159129827327655
14,25200,0.6798143551403174
15,27000,0.6469264248335251
16,28800,0.5859992717640398
17,30600,0.5202452741119235
18,32400,0.48918447848176627
19,34200,0.4846591030027576
20,36000,0.41594584744921526
21,37800,0.42936486853566613
22,39600,0.4332085598507831
23,41400,0.41346682468345053
24,43200,0.37376848272102653
25,45000,0.42961765216583525
26,46800,0.44401065073152635
27,48600,0.3816697721184934
28,50400,0.4402039094538175
29,52200,0.45002406421006913
30,54000,0.509316225310757
31,55800,0.5174941742788737
32,57600,0.555753064766554
33,59400,0.5745853846062968
34,61200,0.6165347387694644
35,63000,0.652239754174071
36,64800,0.6765311953673192
37,66600,0.6867550825819912
38,68400,0.6538326721018219
39,70200,0.6994683057555753
40,72000,0.6932217696757056
41,73800,0.7108347524615465
42,75600,0.7134810836698682
43,77400,0.6988074363515082
44,79200,0.7055278792292039
45,81000,0.7015147038523027
46,82800,0.7236277824577814
47,84600,0.7093294603777984
