,time,emissions
0,0,0.7345491247883039
1,1800,0.7623249522143466
2,3600,0.7669971262944644
3,5400,0.7716018807315981
4,7200,0.803015113321012
5,9000,0.7774983876597993
6,10800,0.7867008500291651
7,12600,0.7684414223957109
8,14400,0.7770281618766511
9,16200,0.777916625594894
10,18000,0.7909353519438919
11,19800,0.779633660855372
12,21600,0.7498287775264122
13,23400,0.7280300160128526
14,25200,0.7238951757797388
15,27000,0.6637720253964666
16,28800,0.6053584743835642
17,30600,0.5965980950438757
18,32400,0.5244693885367571
19,34200,0.5244176585378874
20,36000,0.4920939332121851
21,37800,0.4388808414872144
22,39600,0.42125410107956385
23,41400,0.45269382637792166
24,43200,0.47865756258188663
25,45000,0.45107273855508545
26,46800,0.4354617444547229
27,48600,0.4781303701360272
28,50400,0.5312429270764703
29,52200,0.46972574848335213
30,54000,0.47355523133037336
31,55800,0.5287677742308713
32,57600,0.566217294645843
33,59400,0.6119588995892168
34,61200,0.634312442164133
35,63000,0.6884092016759148
36,64800,0.6529443010727267
37,66600,0.6946703500525114
38,68400,0.6595417974927744
39,70200,0.6896731324981068
40,72000,0.7475270650913907
41,73800,0.7034379364662086
42,75600,0.7074103185143497
43,77400,0.7098259500745906
44,79200,0.6979794027817404
45,81000,0.6936100791880283
46,82800,0.7514677941359145
47,84600,0.7366813694421404
