,time,emissions
0,0,0.74070975431356
1,1800,0.7464664267838543
2,3600,0.7783289931067924
3,5400,0.7608207042116953
4,7200,0.7757538244884585
5,9000,0.7592840507909381
6,10800,0.7649657067812697
7,12600,0.7955676845458478
8,14400,0.7463766510514567
9,16200,0.7793435477310559
10,18000,0.7710855523323489
11,19800,0.7598722579293994
12,21600,0.7690084675884422
13,23400,0.7416642207339018
14,25200,0.7123856806016635
15,27000,0.6495444489609579
16,28800,0.6099705414580733
17,30600,0.563694190285239
18,32400,0.519325578756343
19,34200,0.5284454794055631
20,36000,0.5193241361952009
21,37800,0.4063136769784823
22,39600,0.43761370244117526
23,41400,0.40398744701738554
24,43200,0.4377936520561743
25,45000,0.4548128636177372
26,46800,0.47105078294175706
27,48600,0.48398305083352444
28,50400,0.4601210648482018
29,52200,0.490583058258765
30,54000,0.48582076463663637
31,55800,0.5135628385872019
32,57600,0.5615583310188277
33,59400,0.6108361556021826
34,61200,0.6412523049876402
35,63000,0.6707417973853416
36,64800,0.6738836280912514
37,66600,0.6876751711856521
38,68400,0.6830048217498782
39,70200,0.6971244370302039
40,72000,0.7136379159157534
41,73800,0.7033985287040841
42,75600,0.7241427845364328
43,77400,0.7110557628204435
44,79200,0.7328586579212519
45,81000,0.6908227264786164
46,82800,0.7588738015090531
47,84600,0.7399820541042074
