,time,emissions
0,0,0.7583951669826589
1,1800,0.7671136252872518
2,3600,0.7777644205964565
3,5400,0.7829782491463606
4,7200,0.7829907487998059
5,9000,0.7724575981082323
6,10800,0.7946242887278291
7,12600,0.7923719250149163
8,14400,0.7946095200335601
9,16200,0.8012431408586452
10,18000,0.7850833786646324
11,19800,0.7976774896469274
12,21600,0.7797235639899506
13,23400,0.7556508039940509
14,25200,0.7027128373191994
15,27000,0.6530827926066793
16,28800,0.6228874327540682
17,30600,0.5505152827237585
18,32400,0.5167433219751698
19,34200,0.49162165189639595
20,36000,0.47817286834879713
21,37800,0.43914562693435333
22,39600,0.436347818613241
23,41400,0.4485070383829828
24,43200,0.44958465786322366
25,45000,0.4368594112465084
26,46800,0.4715325410274238
27,48600,0.46172027251168135
28,50400,0.4712929095590084
29,52200,0.4821713063216929
30,54000,0.5195477207380268
31,55800,0.5346174578288513
32,57600,0.5750393378149256
33,59400,0.6168797930449983
34,61200,0.639021834607886
35,63000,0.7004058395459369
36,64800,0.7075176428154462
37,66600,0.6939483141403076
38,68400,0.696217282356704
39,70200,0.7291618932624749
40,72000,0.7261985186906208
41,73800,0.7156935508793864
42,75600,0.7110985011474389
43,77400,0.7325116993407957
44,79200,0.7237829519986533
45,81000,0.719133050311427
46,82800,0.7670493376013839
47,84600,0.7596359080972954
