,time,emissions
0,0,0.7519492047150719
1,1800,0.7524276919322314
2,3600,0.7700672782873584
3,5400,0.7766154403262303
4,7200,0.7665798196594925
5,9000,0.7542242282886652
6,10800,0.7754040072835685
7,12600,0.7745145081244262
8,14400,0.7648599388666378
9,16200,0.7870946635554199
10,18000,0.7908182342766902
11,19800,0.7778519397001022
12,21600,0.7599168274737169
13,23400,0.7379865577363677
14,25200,0.6850370671517496
15,27000,0.6555725636801734
16,28800,0.6037112747804736
17,30600,0.6075742726958518
18,32400,0.5187175314958721
19,34200,0.5237013770111167
20,36000,0.4825843838255103
21,37800,0.44967041842020206
22,39600,0.4164817349740022
23,41400,0.4087431406204286
24,43200,0.4505813149596084
25,45000,0.4559480959314389
26,46800,0.4490971779965477
27,48600,0.4600140787750411
28,50400,0.46150167036454326
29,52200,0.49111101604370067
30,54000,0.4861210514003772
31,55800,0.5358939348641751
32,57600,0.5821931194289218
33,59400,0.5931947648203729
34,61200,0.6314801998621847
35,63000,0.670187352246179
36,64800,0.6891772169281726
37,66600,0.6850395956751252
38,68400,0.7014439983012686
39,70200,0.7066684302815033
40,72000,0.7566602636468991
41,73800,0.7215998174924819
42,75600,0.7009714265286133
43,77400,0.7174446924398633
44,79200,0.7436521881640242
45,81000,0.6924165805552672
46,82800,0.7524182147861737
47,84600,0.7546818692964898
