,time,emissions
0,0,0.7550625134278331
1,1800,0.7334809576733431
2,3600,0.7649673854385721
3,5400,0.784009525451029
4,7200,0.7736489128027839
5,9000,0.729515953180764
6,10800,0.7508626067431025
7,12600,0.7822465497489721
8,14400,0.7837030290583259
9,16200,0.769164528008882
10,18000,0.7674886876397224
11,19800,0.7864154215299028
12,21600,0.7663388730014926
13,23400,0.7344891754486466
14,25200,0.7099064942524498
15,27000,0.6528485959223073
16,28800,0.6187798002146213
17,30600,0.579385657538673
18,32400,0.5435943396926292
19,34200,0.5070883149379971
20,36000,0.5106580364015146
21,37800,0.4561478491592075
22,39600,0.4728609907888946
23,41400,0.48745575959378606
24,43200,0.4646292133944927
25,45000,0.46106938040779843
26,46800,0.45889099737196093
27,48600,0.46514866616487416
28,50400,0.4469050754067405
29,52200,0.49810350386473345
30,54000,0.4956223460306469
31,55800,0.5449431685729945
32,57600,0.5558298679453587
33,59400,0.5991639565146942
34,61200,0.63162307616835
35,63000,0.6686780904658648
36,64800,0.7177977874890997
37,66600,0.6947910945261885
38,68400,0.7072875122315324
39,70200,0.704948723916709
40,72000,0.7227103258005437
41,73800,0.7365793750719724
42,75600,0.7276924215332414
43,77400,0.7348232624655617
44,79200,0.7432973024377311
45,81000,0.7082704982069272
46,82800,0.7808921441947415
47,84600,0.7434163159583642
